cfgid,usemsk,usepad,roi,interp,optim,linesearch,divini,srcgrd,ffdgrd,passdof,conjtot,levels,iters,steps,rejects,lastn,epsilon,sim,bins,padbins,window,ds,be,le,lj,nj,jaceps,gamma,im,imsteps,maxsv,nbch,uselie
0033,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.005,0.000,0.000,0,0.1,0.5,SS,64,-1,0,false
0034,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.005,0.000,0.010,0,0.1,0.5,SS,64,-1,0,false
0035,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.005,0.000,0.050,0,0.1,0.5,SS,64,-1,0,false
0036,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.005,0.000,0.100,0,0.1,0.5,SS,64,-1,0,false
0037,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.005,0.005,0.000,0,0.1,0.5,SS,64,-1,0,false
0038,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.005,0.005,0.010,0,0.1,0.5,SS,64,-1,0,false
0039,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.005,0.005,0.050,0,0.1,0.5,SS,64,-1,0,false
0040,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.005,0.005,0.100,0,0.1,0.5,SS,64,-1,0,false
0041,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.005,0.010,0.000,0,0.1,0.5,SS,64,-1,0,false
0042,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.005,0.010,0.010,0,0.1,0.5,SS,64,-1,0,false
0043,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.005,0.010,0.050,0,0.1,0.5,SS,64,-1,0,false
0044,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.005,0.010,0.100,0,0.1,0.5,SS,64,-1,0,false
0045,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.005,0.050,0.000,0,0.1,0.5,SS,64,-1,0,false
0046,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.005,0.050,0.010,0,0.1,0.5,SS,64,-1,0,false
0047,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.005,0.050,0.050,0,0.1,0.5,SS,64,-1,0,false
0048,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.005,0.050,0.100,0,0.1,0.5,SS,64,-1,0,false
0049,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.010,0.000,0.000,0,0.1,0.5,SS,64,-1,0,false
0050,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.010,0.000,0.010,0,0.1,0.5,SS,64,-1,0,false
0051,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.010,0.000,0.050,0,0.1,0.5,SS,64,-1,0,false
0052,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.010,0.000,0.100,0,0.1,0.5,SS,64,-1,0,false
0053,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.010,0.005,0.000,0,0.1,0.5,SS,64,-1,0,false
0054,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.010,0.005,0.010,0,0.1,0.5,SS,64,-1,0,false
0055,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.010,0.005,0.050,0,0.1,0.5,SS,64,-1,0,false
0056,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.010,0.005,0.100,0,0.1,0.5,SS,64,-1,0,false
0057,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.010,0.010,0.000,0,0.1,0.5,SS,64,-1,0,false
0058,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.010,0.010,0.010,0,0.1,0.5,SS,64,-1,0,false
0059,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.010,0.010,0.050,0,0.1,0.5,SS,64,-1,0,false
0060,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.010,0.010,0.100,0,0.1,0.5,SS,64,-1,0,false
0061,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.010,0.050,0.000,0,0.1,0.5,SS,64,-1,0,false
0062,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.010,0.050,0.010,0,0.1,0.5,SS,64,-1,0,false
0063,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.010,0.050,0.050,0,0.1,0.5,SS,64,-1,0,false
0064,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.010,0.050,0.100,0,0.1,0.5,SS,64,-1,0,false
0065,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.050,0.000,0.000,0,0.1,0.5,SS,64,-1,0,false
0066,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.050,0.000,0.010,0,0.1,0.5,SS,64,-1,0,false
0067,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.050,0.000,0.050,0,0.1,0.5,SS,64,-1,0,false
0068,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.050,0.000,0.100,0,0.1,0.5,SS,64,-1,0,false
0069,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.050,0.005,0.000,0,0.1,0.5,SS,64,-1,0,false
0070,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.050,0.005,0.010,0,0.1,0.5,SS,64,-1,0,false
0071,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.050,0.005,0.050,0,0.1,0.5,SS,64,-1,0,false
0072,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.050,0.005,0.100,0,0.1,0.5,SS,64,-1,0,false
0073,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.050,0.010,0.000,0,0.1,0.5,SS,64,-1,0,false
0074,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.050,0.010,0.010,0,0.1,0.5,SS,64,-1,0,false
0075,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.050,0.010,0.050,0,0.1,0.5,SS,64,-1,0,false
0076,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.050,0.010,0.100,0,0.1,0.5,SS,64,-1,0,false
0077,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.050,0.050,0.000,0,0.1,0.5,SS,64,-1,0,false
0078,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.050,0.050,0.010,0,0.1,0.5,SS,64,-1,0,false
0079,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.050,0.050,0.050,0,0.1,0.5,SS,64,-1,0,false
0080,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.050,0.050,0.100,0,0.1,0.5,SS,64,-1,0,false
0081,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.100,0.000,0.000,0,0.1,0.5,SS,64,-1,0,false
0082,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.100,0.000,0.010,0,0.1,0.5,SS,64,-1,0,false
0083,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.100,0.000,0.050,0,0.1,0.5,SS,64,-1,0,false
0084,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.100,0.000,0.100,0,0.1,0.5,SS,64,-1,0,false
0085,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.100,0.005,0.000,0,0.1,0.5,SS,64,-1,0,false
0086,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.100,0.005,0.010,0,0.1,0.5,SS,64,-1,0,false
0087,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.100,0.005,0.050,0,0.1,0.5,SS,64,-1,0,false
0088,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.100,0.005,0.100,0,0.1,0.5,SS,64,-1,0,false
0089,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.100,0.010,0.000,0,0.1,0.5,SS,64,-1,0,false
0090,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.100,0.010,0.010,0,0.1,0.5,SS,64,-1,0,false
0091,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.100,0.010,0.050,0,0.1,0.5,SS,64,-1,0,false
0092,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.100,0.010,0.100,0,0.1,0.5,SS,64,-1,0,false
0093,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.100,0.050,0.000,0,0.1,0.5,SS,64,-1,0,false
0094,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.100,0.050,0.010,0,0.1,0.5,SS,64,-1,0,false
0095,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.100,0.050,0.050,0,0.1,0.5,SS,64,-1,0,false
0096,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.100,0.050,0.100,0,0.1,0.5,SS,64,-1,0,false
0097,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.500,0.000,0.000,0,0.1,0.5,SS,64,-1,0,false
0098,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.500,0.000,0.010,0,0.1,0.5,SS,64,-1,0,false
0099,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.500,0.000,0.050,0,0.1,0.5,SS,64,-1,0,false
0100,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.500,0.000,0.100,0,0.1,0.5,SS,64,-1,0,false
0101,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.500,0.005,0.000,0,0.1,0.5,SS,64,-1,0,false
0102,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.500,0.005,0.010,0,0.1,0.5,SS,64,-1,0,false
0103,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.500,0.005,0.050,0,0.1,0.5,SS,64,-1,0,false
0104,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.500,0.005,0.100,0,0.1,0.5,SS,64,-1,0,false
0105,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.500,0.010,0.000,0,0.1,0.5,SS,64,-1,0,false
0106,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.500,0.010,0.010,0,0.1,0.5,SS,64,-1,0,false
0107,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.500,0.010,0.050,0,0.1,0.5,SS,64,-1,0,false
0108,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.500,0.010,0.100,0,0.1,0.5,SS,64,-1,0,false
0109,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.500,0.050,0.000,0,0.1,0.5,SS,64,-1,0,false
0110,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.500,0.050,0.010,0,0.1,0.5,SS,64,-1,0,false
0111,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.500,0.050,0.050,0,0.1,0.5,SS,64,-1,0,false
0112,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.500,0.050,0.100,0,0.1,0.5,SS,64,-1,0,false
0113,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.000,0.000,0.000,0,0.1,0.5,SS,64,-1,2,false
0114,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.000,0.000,0.010,0,0.1,0.5,SS,64,-1,2,false
0115,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.000,0.000,0.050,0,0.1,0.5,SS,64,-1,2,false
0116,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.000,0.000,0.100,0,0.1,0.5,SS,64,-1,2,false
0117,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.000,0.005,0.000,0,0.1,0.5,SS,64,-1,2,false
0118,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.000,0.005,0.010,0,0.1,0.5,SS,64,-1,2,false
0119,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.000,0.005,0.050,0,0.1,0.5,SS,64,-1,2,false
0120,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.000,0.005,0.100,0,0.1,0.5,SS,64,-1,2,false
0121,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.000,0.010,0.000,0,0.1,0.5,SS,64,-1,2,false
0122,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.000,0.010,0.010,0,0.1,0.5,SS,64,-1,2,false
0123,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.000,0.010,0.050,0,0.1,0.5,SS,64,-1,2,false
0124,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.000,0.010,0.100,0,0.1,0.5,SS,64,-1,2,false
0125,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.000,0.050,0.000,0,0.1,0.5,SS,64,-1,2,false
0126,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.000,0.050,0.010,0,0.1,0.5,SS,64,-1,2,false
0127,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.000,0.050,0.050,0,0.1,0.5,SS,64,-1,2,false
0128,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.000,0.050,0.100,0,0.1,0.5,SS,64,-1,2,false
0129,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.001,0.000,0.000,0,0.1,0.5,SS,64,-1,2,false
0130,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,200,12,12,0,0,NMI,64,false,5,2.5,0.001,0.000,0.010,0,0.1,0.5,SS,64,-1,2,false
